Date,Open,High,Low,Close,Volume,Adj Close
2015-09-01,38.93,39.50,33.630001,35.369999,306900,35.369999
2015-08-03,39.740002,41.049999,34.259998,39.380001,434100,39.380001
2015-07-01,45.93,46.080002,36.970001,39.700001,703600,39.019344
2015-06-01,46.240002,48.34,42.599998,45.299999,149700,44.523331
2015-05-01,52.049999,54.830002,45.560001,46.200001,204300,45.407902
2015-04-01,51.110001,52.880001,47.169998,52.209999,163000,50.631157
2015-03-02,51.970001,53.48,49.099998,51.349998,182200,49.797161
2015-02-02,50.139999,53.52,48.970001,51.580002,211100,50.02021
2015-01-02,49.740002,52.75,45.00,50.139999,238700,48.044556
2014-12-01,46.50,50.389999,43.099998,49.77,195000,47.690022
2014-11-03,46.25,47.799999,43.580002,46.959999,302200,44.997452
2014-10-01,54.689999,55.990002,42.279999,46.07,531200,43.614677
2014-09-02,57.00,57.00,49.34,55.00,55700,52.068752
2014-08-01,50.77,59.990002,49.040001,57.080002,74700,54.037899
2014-07-01,46.919998,51.93,46.490002,51.099998,73000,47.926426
2014-06-02,47.700001,47.720001,44.299999,46.93,68200,44.015408
2014-05-01,41.889999,47.790001,41.50,47.200001,131500,44.268639
2014-04-01,35.080002,47.93,35.080002,41.700001,145300,38.666325
2014-03-03,35.50,37.439999,32.610001,35.150002,67200,32.592838
2014-02-03,34.82,37.25,33.759998,35.41,22400,32.83392
2014-01-02,33.00,35.689999,32.00,34.630001,26200,31.667227
2013-12-02,36.66,36.66,31.559999,33.099998,31800,30.268124
2013-11-01,31.379999,34.00,30.99,33.650002,34600,30.77107
2013-10-01,30.719999,32.59,30.049999,31.07,34700,28.005423
2013-09-03,30.75,32.84,29.27,30.120001,18100,27.149126
2013-08-01,29.83,31.40,28.639999,30.889999,25100,27.843176
2013-07-01,29.60,29.93,28.90,29.559999,16700,26.253368
2013-06-03,28.530001,30.15,26.799999,29.299999,65600,26.022453
2013-05-01,30.969999,31.959999,28.139999,28.84,54300,25.613911
2013-04-01,32.599998,32.779999,30.50,30.91,29400,27.070274
2013-03-01,29.08,33.41,28.92,32.50,44800,28.462761
2013-02-01,28.99,29.59,25.85,29.139999,109600,25.520149
2013-01-02,25.42,30.120001,25.42,29.00,58300,25.004463
2012-12-03,25.290001,25.530001,24.32,25.16,65300,21.693527
2012-11-01,24.93,25.99,23.65,24.969999,99300,21.529703
2012-10-01,24.24,26.34,23.09,24.58,197900,21.168514
2012-09-20,23.40,24.10,22.52,24.00,935000,20.669012
